12
4 7
26.807 16.701 4
26.317 14.381 4
18.762 12.292 4
18.172 8.648 4
4 4
18.172 8.648 4
17.918 7.0845 4
19.592 5.5776 5
18.357 4.6597 5
4 3
18.357 4.6597 5
17.42 3.9633 5
17.776 4.5388 4.4837
16.865 2.7796 4.4837
4 4
16.865 2.7796 4.4837
16.288 2.0332 4.4837
16.185 1.1064 4.6772
15.67 0.82107 4.6772
4 4
15.67 0.82107 4.6772
14.162 -0.014031 4.6772
11.6 0.055828 4.6772
11.413 -3.5834 4.6772
4 5
11.413 -3.5834 4.6772
11.325 -5.3052 4.6772
8.2468 -5.2026 3.8079
6.6557 -3.3489 3.8079
4 4.5
6.6557 -3.3489 3.8079
5.5328 -2.0407 3.8079
3.3359 -2.1824 2.7702
1.6837 -2.2861 2.7702
4 5
1.6837 -2.2861 2.7702
-0.40175 -2.4169 2.7702
-2.9873 -7.9524 7.5694
-5.8511 -5.2078 7.5694
4 5
-5.8511 -5.2078 7.5694
-8.8608 -2.3233 7.5694
-7.7135 1.6382 5.5333
-4.5102 4.261 5.5333
4 5
-4.5102 4.261 5.5333
-1.2847 6.9019 5.5333
6.4751 3.5111 6.3607
5.0398 6.6777 6.4134
4 4
5.0398 6.6777 6.4134
3.777 10.834 6.4826
2.2768 10.28 6.4485
2.0788 11.221 6.4485
4 4
2.0788 11.221 6.4485
1.6406 13.304 6.4485
2.2787 12.02 6.9159
2.1739 14.153 6.9159
